customer_region,tipo_compra,frete_medio,ratio_frete_preco,total_pedidos
Centro-Oeste,Inter-Regional,23.377853666195634,35.7023577679987,6369
Centro-Oeste,Intra-Regional,15.190122950819672,26.701626607822167,244
Nordeste,Inter-Regional,32.72975133393738,45.876837150493095,9933
Nordeste,Intra-Regional,21.431029411764705,17.442187486840133,476
Norte,Inter-Regional,36.84045058139535,49.681120745161984,2064
Sudeste,Inter-Regional,23.22898660556926,30.276729415441277,11348
Sudeste,Intra-Regional,16.367636418678572,28.852871050800093,66065
Sul,Inter-Regional,21.802211996191687,37.0406944637265,12604
Sul,Intra-Regional,19.238680575133916,27.48217214296251,3547
